edad,ingresos,historial_crediticio,deuda,horas_trabajo_semana,gasto_mensual,aprobado_credito
21,2304.18,5,1108.24,58.7,1512.96,0
50,763.61,5,0.0,31.0,1463.42,0
45,2060.65,1,1849.81,47.9,1805.03,0
36,1942.64,4,776.5,45.2,1863.82,1
36,1443.51,2,826.27,33.3,1537.59,0
54,932.37,3,451.17,43.8,1541.36,0
21,1843.28,2,742.0,54.1,1633.87,0
47,1482.3,4,1499.52,38.8,1922.88,0
26,1939.61,5,1067.53,25.1,1593.55,0
21,1813.11,4,1430.06,41.8,1493.16,0
40,2761.07,5,1453.35,33.0,2278.8,0
58,1656.39,5,2124.46,38.6,2038.16,0
48,1185.9,0,960.05,41.2,1707.41,0
49,1907.57,1,166.2,24.9,2120.94,1
48,1932.0,4,1947.06,25.8,1885.33,0
51,2615.51,3,967.96,46.8,2052.84,0
39,2301.07,0,1980.21,36.8,1906.95,0
23,2014.12,0,1468.36,16.4,1189.68,0
53,2677.98,3,1108.2,49.8,2152.74,0
36,1086.74,3,1444.14,44.7,1515.78,0
39,1416.15,1,2565.71,34.9,1490.14,0
33,1244.05,1,2653.89,28.8,1415.77,0
25,1566.11,0,1248.57,50.4,1259.04,0
56,973.99,3,1312.13,45.5,1402.21,0
50,2181.09,0,1953.37,65.8,1888.38,0
45,1666.67,3,608.04,46.2,1805.4,0
34,917.52,2,1433.15,45.9,1189.6,0
52,1190.65,2,1181.9,40.3,1848.31,0
40,1988.11,4,1419.74,50.2,1669.61,0
36,2302.88,3,616.64,48.3,1954.58,0
36,2998.04,4,87.3,54.5,2068.75,1
27,3548.32,4,0.0,36.8,2407.35,1
21,2048.65,5,417.83,37.6,1538.85,0
41,1206.28,4,878.93,37.2,1354.2,1
55,600.0,3,994.77,49.9,1430.18,0
20,1960.63,2,2556.06,57.0,1193.58,1
54,1312.24,1,1974.2,37.4,1587.61,0
52,1550.79,3,526.54,37.8,2192.99,0
29,1432.74,0,1443.4,45.1,1282.82,0
44,1715.53,5,915.05,39.5,1708.81,0
24,2439.59,5,1000.95,51.5,1308.97,1
49,1894.23,0,1329.73,19.5,1707.05,0
47,1704.82,4,1633.42,33.7,1668.66,0
32,1178.61,0,962.52,34.2,1182.06,0
20,795.19,4,1944.7,18.8,1059.32,0
58,1508.22,0,400.64,32.4,1949.68,0
36,1767.73,2,1204.44,32.8,1827.83,0
55,2860.76,3,3018.37,40.0,2190.42,0
46,1878.16,4,1356.16,53.1,1810.79,1
50,2389.64,2,2203.25,39.5,1973.28,0
49,1500.42,5,1264.06,31.7,1711.17,0
26,1089.03,4,1606.54,41.4,1391.99,0
33,1220.93,1,1160.25,52.5,900.03,0
37,1364.86,4,1080.71,32.2,1099.28,0
38,3077.08,4,654.36,32.9,2150.08,1
19,1307.17,2,1501.21,47.6,1063.48,0
40,2303.09,4,603.92,39.8,2089.05,0
